Name,Sites,Headquarters,Website
Wallis Companies,62,MO,https://wallisco.com
Carroll Independent Fuel/High's,60,MD,https://highs.com
Majors Management,60,GA,https://majorsmanagement.com
J&H Oil Co. Inc.,59,MI,https://myjhfamilystores.com
Shop Rite/Tobacco Plus,58,LA,https://shopritela.com
Gawfco Enterprises,57,CA,https://gawfco.com
Jay Petroleum/Pak-A-Sak,57,IN,https://pakasak.com
Farm Stores Grocery Inc.,56,FL,https://farmstores.com
Jernigan Oil Co.,56,NC,https://duckthru.com
Midwest Petroleum Corp.,56,MO,https://midwestpetro.com
Albertsons Cos.,55,ID,https://albertsonscompanies.com
Coen Oil Co.,55,PA,https://coen1923.com
The Wills Group Inc./Dash In,55,MD,https://dashin.com
Warrenton Oil Co./FastLane,55,MO,https://fastlane-cstore.com
Wesco Inc.,55,MI,https://gowesco.com
ARS West LLC/American Retail Services,54,CA,https://porters.us.com
Cantrell Cos./1st Stop,54,OH,https://1ststopinc.com
Cox Oil Co.,54,TN,https://littlegeneral.com
Eagle Stop,54,MO,https://eaglestopstores.com
Jaco Oil Co./Fastrip,54,CA,https://fastrip.com
Jet Food Stores,52,GA,https://jetfoodstores.com
TXB,52,TX,https://txbstores.com
Pete's of Erie Inc.,51,KS,https://petescorp.com
Kelley Williamson Co.,50,IL,https://kelleysmarket.com
R.L. Vallee Inc.,49,VT,https://maplefields.com
Bosselman Enterprises,48,NE,https://pumpandpantry.com
Craddock Oil Co.,48,MS,https://craddockoil.com
Fast Stop Travel Centers,48,UT,https://faststop.us
NSR Petro Service,48,MD,https://nsr-petro-services-llc.business.site
Savings Oil Co./Dodge's Stores,48,MS,https://dodgessouthernstyle.com
Clark Oil Co.,47,MS,https://clark-oil.com
Git N Go Convenience Stores,47,IA,https://git-n-go.com
Enex/Road Ranger,46,IL,https://roadrangerusa.com
Short Stop Food Marts,46,NC,https://shortstopfoodmarts.com
Jolley Stores,45,VT,https://jolleystores.com
Street Corner Inc.,45,KS,https://streetcorner.com
Buc-ee's,44,TX,https://buc-ees.com
Keith's Superstores,44,MS,https://keithssuperstores.com
SpeeDee Mart,44,NV,https://speedeemart.net
Summerwood Partners,44,AK,
Folk Oil Co.,43,MI,https://psfoodmart.com
Childers Oil Co./Double Kwik,42,KY,https://doublekwik.com
Coborn's Inc.,42,MN,https://cobornsinc.com
Coles Energy Inc./Mickey Mart,42,OH,https://mickeythemoose.com
R.L. Jordan Oil Co.,42,SC,https://hotspotcstore.com
U.S. Market,42,OR,https://usmarketstores.com
Dari Mart Inc.,41,OR,https://darimart.com
Big D Oil Co.,40,SD,https://bigdoil.com
CHS Inc./Cenex Zip Trip,40,NM,
Downey Oil Co.,40,TN,https://kenjomarkets.com
Foster Blue Water Oil,40,MI,https://fosteroil.com
Houchens Industries,40,KY,https://myiga.com
The Carioca Co.,40,AZ,
